# x y r theta psi omega ur utheta ux uy speed
5.0701666685e-01 0.0000000000e+00 5.0701666685e-01 0.0000000000e+00 5.9831689578e-08 -3.4406392061e-16 1.5263813687e+01 -3.8726771278e-08 1.5263813687e+01 -3.8726771278e-08 1.5263813687e+01
5.3492179602e-01 0.0000000000e+00 5.3492179602e-01 0.0000000000e+00 6.0691354956e-08 -8.5648992604e-18 1.5757236061e+01 -2.4457001183e-08 1.5757236061e+01 -2.4457001183e-08 1.5757236061e+01
5.6585558942e-01 0.0000000000e+00 5.6585558942e-01 0.0000000000e+00 6.1230163631e-08 -1.6718306565e-19 1.6221836920e+01 -1.1872415601e-08 1.6221836920e+01 -1.1872415601e-08 1.6221836920e+01
6.0014676104e-01 0.0000000000e+00 6.0014676104e-01 0.0000000000e+00 6.1426473956e-08 -2.6012082722e-21 1.6655671027e+01 -9.7582461618e-10 1.6655671027e+01 -9.7582461618e-10 1.6655671027e+01
6.3815970166e-01 0.0000000000e+00 6.3815970166e-01 0.0000000000e+00 6.1263452234e-08 -3.2691516913e-23 1.7057499323e+01 8.2638641615e-09 1.7057499323e+01 8.2638641615e-09 1.7057499323e+01
6.8029835095e-01 0.0000000000e+00 6.8029835095e-01 0.0000000000e+00 6.0729530362e-08 -3.3547042828e-25 1.7426751308e+01 1.5909463035e-08 1.7426751308e+01 1.5909463035e-08 1.7426751308e+01
7.2701048988e-01 0.0000000000e+00 7.2701048988e-01 0.0000000000e+00 5.9818650359e-08 -2.8357359026e-27 1.7763470897e+01 2.2051675033e-08 1.7763470897e+01 2.2051675033e-08 1.7763470897e+01
7.7879249904e-01 0.0000000000e+00 7.7879249904e-01 0.0000000000e+00 5.8530290486e-08 -1.9890216760e-29 1.8068247715e+01 2.6804102890e-08 1.8068247715e+01 2.6804102890e-08 1.8068247715e+01
8.3619463336e-01 0.0000000000e+00 8.3619463336e-01 0.0000000000e+00 5.6869271662e-08 -1.1647343252e-31 1.8342137468e+01 3.0297537652e-08 1.8342137468e+01 3.0297537652e-08 1.8342137468e+01
8.9982686930e-01 0.0000000000e+00 8.9982686930e-01 0.0000000000e+00 5.4845368434e-08 -5.7236312390e-34 1.8586575835e+01 3.2673946520e-08 1.8586575835e+01 3.2673946520e-08 1.8586575835e+01
9.7036538670e-01 0.0000000000e+00 9.7036538670e-01 0.0000000000e+00 5.2472748229e-08 -2.3708013982e-36 1.8803290505e+01 3.4080546436e-08 1.8803290505e+01 3.4080546436e-08 1.8803290505e+01
1.0485597541e+00 0.0000000000e+00 1.0485597541e+00 0.0000000000e+00 4.9769291242e-08 -8.3092534937e-39 1.8994215645e+01 3.4664314047e-08 1.8994215645e+01 3.4664314047e-08 1.8994215645e+01
1.1352408940e+00 0.0000000000e+00 1.1352408940e+00 0.0000000000e+00 4.6755827700e-08 -2.4724675294e-41 1.9161412366e+01 3.4567298681e-08 1.9161412366e+01 3.4567298681e-08 1.9161412366e+01
1.2313299125e+00 0.0000000000e+00 1.2313299125e+00 0.0000000000e+00 4.3455340916e-08 -6.2645887765e-44 1.9306997853e+01 3.3922740085e-08 1.9306997853e+01 3.3922740085e-08 1.9306997853e+01
1.3378478873e+00 0.0000000000e+00 1.3378478873e+00 0.0000000000e+00 3.9892199559e-08 -1.3551994669e-46 1.9433084852e+01 3.2852205143e-08 1.9433084852e+01 3.2852205143e-08 1.9433084852e+01
1.4559267181e+00 0.0000000000e+00 1.4559267181e+00 0.0000000000e+00 3.6091439050e-08 -2.5090265490e-49 1.9541732296e+01 3.1463738975e-08 1.9541732296e+01 3.1463738975e-08 1.9541732296e+01
1.5868211544e+00 0.0000000000e+00 1.5868211544e+00 0.0000000000e+00 3.2078149707e-08 -3.9842562111e-52 1.9634907049e+01 2.9850854087e-08 1.9634907049e+01 2.9850854087e-08 1.9634907049e+01
1.7319221294e+00 0.0000000000e+00 1.7319221294e+00 0.0000000000e+00 2.7876993328e-08 -5.4374857272e-55 1.9714456146e+01 2.8092384843e-08 1.9714456146e+01 2.8092384843e-08 1.9714456146e+01
1.8927715401e+00 0.0000000000e+00 1.8927715401e+00 0.0000000000e+00 2.3511862369e-08 -6.3893746956e-58 1.9782088471e+01 2.6252990648e-08 1.9782088471e+01 2.6252990648e-08 1.9782088471e+01
2.0710786321e+00 0.0000000000e+00 2.0710786321e+00 0.0000000000e+00 1.9005698056e-08 -6.4754328786e-61 1.9839364532e+01 2.4384101453e-08 1.9839364532e+01 2.4384101453e-08 1.9839364532e+01
2.2687381632e+00 0.0000000000e+00 2.2687381632e+00 0.0000000000e+00 1.4380482173e-08 -5.6691452164e-64 1.9887692937e+01 2.2525227354e-08 1.9887692937e+01 2.2525227354e-08 1.9887692937e+01
2.4878505370e+00 0.0000000000e+00 2.4878505370e+00 0.0000000000e+00 9.6573817336e-09 -4.2938351252e-67 1.9928332131e+01 2.0705516276e-08 1.9928332131e+01 2.0705516276e-08 1.9928332131e+01
2.7307441234e+00 0.0000000000e+00 2.7307441234e+00 0.0000000000e+00 4.8570368214e-09 -2.8165765883e-70 1.9962396078e+01 1.8945331588e-08 1.9962396078e+01 1.8945331588e-08 1.9962396078e+01
3.0000000000e+00 0.0000000000e+00 3.0000000000e+00 0.0000000000e+00 0.0000000000e+00 -2.8165765883e-70 2.0000000000e+01 -0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 2.0000000000e+01

2.4965738369e-01 1.3083989061e-02 2.5000000000e-01 5.2359877560e-02 0.0000000000e+00 -1.8751096565e+04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.4966736998e-01 1.3084512420e-02 2.5001000000e-01 5.2359877560e-02 9.3755482824e-07 -1.8913758233e+04 6.9736512591e-05 -1.8832030472e-01 9.9255641684e-03 -1.8805856856e-01 1.8832031763e-01
2.4967844014e-01 1.3085092582e-02 2.5002108534e-01 5.2359877560e-02 4.1872082804e-06 -1.8805131809e+04 3.1132367472e-04 -3.9737029235e-01 2.1107651249e-02 -3.9680941675e-01 3.9737041430e-01
2.4969071178e-01 1.3085735712e-02 2.5003337383e-01 5.2359877560e-02 1.0490015082e-05 -1.8346628277e+04 7.7967995557e-04 -6.2561406605e-01 3.3520721817e-02 -6.2471587842e-01 6.2561455189e-01
2.4970431531e-01 1.3086448643e-02 2.5004699603e-01 5.2359877560e-02 2.0714264146e-05 -1.7464305579e+04 1.5390974055e-03 -8.6948480678e-01 4.7042306927e-02 -8.6821265793e-01 8.6948616897e-01
2.4971939530e-01 1.3087238952e-02 2.5006209671e-01 5.2359877560e-02 3.5834875924e-05 -1.6105585130e+04 2.6616928780e-03 -1.1228883259e+00 6.1425479411e-02 -1.1212101442e+00 1.1228914805e+00
2.4973611199e-01 1.3088115036e-02 2.5007883634e-01 5.2359877560e-02 5.6887485768e-05 -1.4262113661e+04 4.2239838721e-03 -1.3769762303e+00 7.6283562786e-02 -1.3748680660e+00 1.3769827090e+00
2.4975464300e-01 1.3089086205e-02 2.5009739279e-01 5.2359877560e-02 8.4893844058e-05 -1.1994922343e+04 6.3013453682e-03 -1.6204834815e+00 9.1102262175e-02 -1.6179328783e+00 1.6204957331e+00
2.4977518527e-01 1.3090162780e-02 2.5011796325e-01 5.2359877560e-02 1.2076435131e-04 -9.4522292273e+03 8.9607876221e-03 -1.8409300613e+00 1.0529534231e-01 -1.8379381593e+00 1.8409518696e+00
2.4979795708e-01 1.3091356200e-02 2.5014076631e-01 5.2359877560e-02 1.6519876347e-04 -6.8649180402e+03 1.2253623021e-02 -2.0267946233e+00 1.1831106457e-01 -2.0233756666e+00 2.0268316645e+00
2.4982320041e-01 1.3092679147e-02 2.5016604428e-01 5.2359877560e-02 2.1862270749e-04 -4.5056058742e+03 1.6210815098e-02 -2.1702954238e+00 1.2977308507e-01 -2.1664727008e+00 2.1703559655e+00
2.4985118352e-01 1.3094145679e-02 2.5019406579e-01 5.2359877560e-02 2.8120317242e-04 -2.6119699028e+03 2.0844197485e-02 -2.2697710350e+00 1.3960626881e-01 -2.2655694917e+00 2.2698667432e+00
2.4988220374e-01 1.3095771381e-02 2.5022512859e-01 5.2359877560e-02 3.5296441175e-04 -1.3037126358e+03 2.6155119320e-02 -2.3303041816e+00 1.4807797232e-01 -2.3257417275e+00 2.3304509583e+00
2.4991659073e-01 1.3097573526e-02 2.5025956276e-01 5.2359877560e-02 4.3397397270e-04 -5.4481672520e+02 3.2148229880e-02 -2.3618115958e+00 1.5571184018e-01 -2.3568923068e+00 2.3620303815e+00
2.4995470989e-01 1.3099571266e-02 2.5029773423e-01 5.2359877560e-02 5.2451792336e-04 -1.8423832814e+02 3.8844383618e-02 -2.3753704969e+00 1.6310843512e-01 -2.3700821762e+00 2.3756880863e+00
2.4999696628e-01 1.3101785830e-02 2.5034004861e-01 5.2359877560e-02 6.2518684922e-04 -4.6922063248e+01 4.6286884135e-02 -2.3798669864e+00 1.7077606403e-01 -2.3741829930e+00 2.3803170689e+00
2.5004380894e-01 1.3104240750e-02 2.5038695556e-01 5.2359877560e-02 7.3686052201e-04 -5.6784669617e+00 5.4540235755e-02 -2.3806650567e+00 1.7905987249e-01 -2.3745480226e+00 2.3812897240e+00
2.5009573564e-01 1.3106962113e-02 2.5043895352e-01 5.2359877560e-02 8.6064539399e-04 4.0060540687e+00 6.3685453698e-02 -2.3802279442e+00 1.8816968053e-01 -2.3736328854e+00 2.3810797768e+00
2.5015329816e-01 1.3109978837e-02 2.5049659504e-01 5.2359877560e-02 9.9782338513e-04 5.7889873871e+00 7.3816246765e-02 -2.3794158526e+00 1.9824408811e-01 -2.3722917020e+00 2.3805605722e+00
2.5021710820e-01 1.3113322979e-02 2.5056049264e-01 5.2359877560e-02 1.1498318337e-03 6.0606028675e+00 8.5037504837e-02 -2.3784536423e+00 2.0939960964e-01 -2.3707435351e+00 2.3799733414e+00
2.5028784381e-01 1.3117030076e-02 2.5063132533e-01 5.2359877560e-02 1.3182660568e-03 6.1113869038e+00 9.7465435871e-02 -2.3773800562e+00 2.2175432147e-01 -2.3690209927e+00 2.3793771124e+00
2.5036625667e-01 1.3121139519e-02 2.5070984580e-01 5.2359877560e-02 1.5048923460e-03 6.1391286414e+00 1.1122844864e-01 -2.3761923276e+00 2.3543631160e-01 -2.3671145914e+00 2.3787941789e+00
