# x y speed omega solid
5.5670840787e-01 -1.2000000000e+00 2.0629837384e+01 -2.7665756153e-59 0
5.6529516995e-01 -1.2000000000e+00 2.0620086240e+01 -5.5453663834e-59 0
5.7388193202e-01 -1.2000000000e+00 2.0610412985e+01 -1.0459552170e-58 0
5.8246869410e-01 -1.2000000000e+00 2.0600819024e+01 -1.8730627031e-58 0
5.9105545617e-01 -1.2000000000e+00 2.0591305720e+01 -3.2229256780e-58 0
5.9964221825e-01 -1.2000000000e+00 2.0582479764e+01 -5.3144597196e-58 0
6.0822898032e-01 -1.2000000000e+00 2.0573757872e+01 -8.5975698808e-58 0
6.1681574240e-01 -1.2000000000e+00 2.0564793668e+01 -1.3661138811e-57 0
6.2540250447e-01 -1.2000000000e+00 2.0555723024e+01 -2.1312409929e-57 0
6.3398926655e-01 -1.2000000000e+00 2.0546736553e+01 -3.2643408502e-57 0
6.4257602862e-01 -1.2000000000e+00 2.0537835205e+01 -4.9093235073e-57 0
6.5116279070e-01 -1.2000000000e+00 2.0529019892e+01 -7.2498955545e-57 0
6.5974955277e-01 -1.2000000000e+00 2.0520291486e+01 -1.0513192818e-56 0
6.6833631485e-01 -1.2000000000e+00 2.0511650815e+01 -1.4970407362e-56 0
6.7692307692e-01 -1.2000000000e+00 2.0503098671e+01 -2.0932909214e-56 0
6.8550983900e-01 -1.2000000000e+00 2.0494635805e+01 -2.8742358750e-56 0
6.9409660107e-01 -1.2000000000e+00 2.0486204944e+01 -3.8850686629e-56 0
7.0268336315e-01 -1.2000000000e+00 2.0477536703e+01 -5.2011318891e-56 0
7.1127012522e-01 -1.2000000000e+00 2.0468966893e+01 -6.7929674295e-56 0
7.1985688730e-01 -1.2000000000e+00 2.0460496138e+01 -8.6819634587e-56 0
7.2844364937e-01 -1.2000000000e+00 2.0452125019e+01 -1.0876865604e-55 0
7.3703041145e-01 -1.2000000000e+00 2.0443854078e+01 -1.3369588553e-55 0
7.4561717352e-01 -1.2000000000e+00 2.0435683817e+01 -1.6131624193e-55 0
7.5420393560e-01 -1.2000000000e+00 2.0427614700e+01 -1.9111627286e-55 0
7.6279069767e-01 -1.2000000000e+00 2.0419647149e+01 -2.2234735151e-55 0
7.7137745975e-01 -1.2000000000e+00 2.0411781550e+01 -2.5404059988e-55 0
7.7996422182e-01 -1.2000000000e+00 2.0403996014e+01 -2.8801913977e-55 0
