
# Surface 0 of 1 surfaces

# Curve title: ""cylinder_wake_map.dat" using 1:2:(($3 > speed_cap) ? speed_cap : $3)"

# Contour 0, label:        1
 3.39034 -0.117258  0.85 
 3.39232 -0.116129  0.85 
 3.39409 -0.107527  0.85 
 3.39034 -0.104029  0.85 
 3.38175 -0.101028  0.85 
 3.37317 -0.103078  0.85 

 3.75957  0.13507  0.85 
 3.7552  0.133333  0.85 
 3.75098  0.130714  0.85 
 3.74384  0.124731  0.85 
 3.7424  0.122309  0.85 
 3.73928  0.116129  0.85 
 3.73825  0.107527  0.85 
 3.73985  0.0989247  0.85 
 3.7424  0.0933412  0.85 
 3.74397  0.0903226  0.85 
 3.75091  0.0817204  0.85 
 3.75098  0.081651  0.85 
 3.75957  0.0749282  0.85 
 3.76269  0.0731183  0.85 
 3.76816  0.0703318  0.85 
 3.77674  0.0673482  0.85 
 3.78533  0.0656651  0.85 
 3.79392  0.0651938  0.85 
 3.8025  0.0659171  0.85 
 3.81109  0.0678897  0.85 
 3.81968  0.071242  0.85 
 3.8231  0.0731183  0.85 
 3.82826  0.0764874  0.85 
 3.83438  0.0817204  0.85 
 3.83685  0.0845568  0.85 
 3.84107  0.0903226  0.85 
 3.84487  0.0989247  0.85 
 3.84544  0.102607  0.85 
 3.84615  0.107527  0.85 
 3.84544  0.112171  0.85 
 3.8448  0.116129  0.85 
 3.83996  0.124731  0.85 
 3.83685  0.127568  0.85 
 3.82882  0.133333  0.85 
 3.82826  0.133586  0.85 
 3.81968  0.136564  0.85 
 3.81109  0.138491  0.85 
 3.8025  0.139587  0.85 
 3.79392  0.140002  0.85 
 3.78533  0.139807  0.85 
 3.77674  0.138995  0.85 
 3.76816  0.137476  0.85 
 3.75957  0.13507  0.85 

 2.99535 -0.267417  0.85 
 3.00394 -0.267804  0.85 
 3.01252 -0.268248  0.85 
 3.02111 -0.268751  0.85 
 3.0297 -0.269315  0.85 
 3.03828 -0.269942  0.85 
 3.04687 -0.270635  0.85 
