# x y r theta psi omega ur utheta ux uy speed
1.5158626414e-02 0.0000000000e+00 1.5158626414e-02 0.0000000000e+00 -5.4676206344e-05 -1.7227333749e+01 -2.7743128430e+01 1.3470321781e-03 -2.7743128430e+01 1.3470321781e-03 2.7743128463e+01
1.5800116969e-02 0.0000000000e+00 1.5800116969e-02 0.0000000000e+00 -5.5327293234e-05 -1.7450989008e+01 -2.7409851642e+01 6.8959375162e-04 -2.7409851642e+01 6.8959375162e-04 2.7409851651e+01
1.6481484492e-02 0.0000000000e+00 1.6481484492e-02 0.0000000000e+00 -5.5561685275e-05 -1.7597854962e+01 -2.6787063306e+01 1.8209714600e-05 -2.6787063306e+01 1.8209714600e-05 2.6787063306e+01
1.7205207855e-02 0.0000000000e+00 1.7205207855e-02 0.0000000000e+00 -5.5324423294e-05 -1.7660886374e+01 -2.5869502010e+01 -6.3928989084e-04 -2.5869502010e+01 -6.3928989084e-04 2.5869502018e+01
1.7973920023e-02 0.0000000000e+00 1.7973920023e-02 0.0000000000e+00 -5.4578691350e-05 -1.7634970078e+01 -2.4670693390e+01 -1.2527862260e-03 -2.4670693390e+01 -1.2527862260e-03 2.4670693422e+01
1.8790417636e-02 0.0000000000e+00 1.8790417636e-02 0.0000000000e+00 -5.3310638574e-05 -1.7519801649e+01 -2.3222622026e+01 -1.8137776405e-03 -2.3222622026e+01 -1.8137776405e-03 2.3222622097e+01
1.9657671178e-02 0.0000000000e+00 1.9657671178e-02 0.0000000000e+00 -5.1497450440e-05 -1.7315254108e+01 -2.1560072161e+01 -2.3285778139e-03 -2.1560072161e+01 -2.3285778139e-03 2.1560072286e+01
2.0578835791e-02 0.0000000000e+00 2.0578835791e-02 0.0000000000e+00 -4.9119724759e-05 -1.7020453083e+01 -1.9720638408e+01 -2.7969282209e-03 -1.9720638408e+01 -2.7969282209e-03 1.9720638606e+01
2.1557262746e-02 0.0000000000e+00 2.1557262746e-02 0.0000000000e+00 -4.6158957060e-05 -1.6631944118e+01 -1.7734869312e+01 -3.2267219611e-03 -1.7734869312e+01 -3.2267219611e-03 1.7734869605e+01
2.2596511644e-02 0.0000000000e+00 2.2596511644e-02 0.0000000000e+00 -4.2584076390e-05 -1.6145042228e+01 -1.5627203679e+01 -3.6247572577e-03 -1.5627203679e+01 -3.6247572577e-03 1.5627204100e+01
2.3700363356e-02 0.0000000000e+00 2.3700363356e-02 0.0000000000e+00 -3.8366106553e-05 -1.5550174325e+01 -1.3416941012e+01 -3.9870760504e-03 -1.3416941012e+01 -3.9870760504e-03 1.3416941605e+01
2.4872833787e-02 0.0000000000e+00 2.4872833787e-02 0.0000000000e+00 -3.3484726176e-05 -1.4837945954e+01 -1.1123004673e+01 -4.3017364955e-03 -1.1123004673e+01 -4.3017364955e-03 1.1123005504e+01
2.6118188481e-02 0.0000000000e+00 2.6118188481e-02 0.0000000000e+00 -2.7944457462e-05 -1.4000303248e+01 -8.7689344519e+00 -4.5479529084e-03 -8.7689344519e+00 -4.5479529084e-03 8.7689356312e+00
