# x y speed omega solid
9.0793871866e-02 -4.5000000000e-02 2.0076789210e+01 2.7583690155e+00 0
9.1295264624e-02 -4.5000000000e-02 2.0076098212e+01 2.9643669629e+00 0
9.1796657382e-02 -4.5000000000e-02 2.0075478189e+01 3.1416641588e+00 0
9.2298050139e-02 -4.5000000000e-02 2.0074928308e+01 3.2905942262e+00 0
9.2799442897e-02 -4.5000000000e-02 2.0074447750e+01 3.4114862447e+00 0
9.3300835655e-02 -4.5000000000e-02 2.0074035704e+01 3.5046648123e+00 0
9.3802228412e-02 -4.5000000000e-02 2.0073923762e+01 3.0638159849e+00 0
9.4303621170e-02 -4.5000000000e-02 2.0073939045e+01 2.4612952515e+00 0
9.4805013928e-02 -4.5000000000e-02 2.0073983458e+01 1.9090951151e+00 0
9.5306406685e-02 -4.5000000000e-02 2.0074056660e+01 1.4066385038e+00 0
9.5807799443e-02 -4.5000000000e-02 2.0074158314e+01 9.5335617953e-01 0
9.6309192201e-02 -4.5000000000e-02 2.0074288089e+01 5.4868662917e-01 0
9.6810584958e-02 -4.5000000000e-02 2.0074445658e+01 1.9207595580e-01 0
9.7311977716e-02 -4.5000000000e-02 2.0074618405e+01 -1.1494717000e-01 0
9.7813370474e-02 -4.5000000000e-02 2.0074815944e+01 -3.8848783684e-01 0
9.8314763231e-02 -4.5000000000e-02 2.0075045238e+01 -6.3303152240e-01 0
9.8816155989e-02 -4.5000000000e-02 2.0075305922e+01 -8.4890612916e-01 0
9.9317548747e-02 -4.5000000000e-02 2.0075597636e+01 -1.0364351175e+00 0
9.9818941504e-02 -4.5000000000e-02 2.0075920028e+01 -1.1959375696e+00 0
1.0032033426e-01 -4.5000000000e-02 2.0076272747e+01 -1.3277282520e+00 0
1.0082172702e-01 -4.5000000000e-02 2.0076655448e+01 -1.4321176783e+00 0
1.0132311978e-01 -4.5000000000e-02 2.0077067792e+01 -1.5094121702e+00 0
1.0182451253e-01 -4.5000000000e-02 2.0077509443e+01 -1.5599139183e+00 0
1.0232590529e-01 -4.5000000000e-02 2.0077980071e+01 -1.5839210421e+00 0
1.0282729805e-01 -4.5000000000e-02 2.0078479350e+01 -1.5817276491e+00 0
1.0332869081e-01 -4.5000000000e-02 2.0079006958e+01 -1.5536238931e+00 0
1.0383008357e-01 -4.5000000000e-02 2.0079562578e+01 -1.4998960317e+00 0
1.0433147632e-01 -4.5000000000e-02 2.0074637566e+01 -1.5651510933e+00 0
