# x y rho u v p
0.4887500000 0.0012500000 0.4342327763 0.9065896014 0.0000000000 0.3121434672
0.4912500000 0.0012500000 0.4306554437 0.9148503336 0.0000000000 0.3085626564
0.4937500000 0.0012500000 0.4276701620 0.9217817710 0.0000000000 0.3055854298
0.4962500000 0.0012500000 0.4255079669 0.9268182772 0.0000000000 0.3034377247
0.4987500000 0.0012500000 0.4242911454 0.9296481614 0.0000000000 0.3022367822
0.5012500000 0.0012500000 0.4238835347 0.9305764531 0.0000000000 0.3018438508
0.5037500000 0.0012500000 0.4239209964 0.9304559366 0.0000000000 0.3018950386
0.5062500000 0.0012500000 0.4240718465 0.9300675252 0.0000000000 0.3020596646
0.5087500000 0.0012500000 0.4242020052 0.9297270119 0.0000000000 0.3022040729
0.5112500000 0.0012500000 0.4242980765 0.9294658591 0.0000000000 0.3023149061
0.5137500000 0.0012500000 0.4243697920 0.9292610847 0.0000000000 0.3024018753
0.5162500000 0.0012500000 0.4244251364 0.9290938352 0.0000000000 0.3024729566
0.5187500000 0.0012500000 0.4244689088 0.9289527628 0.0000000000 0.3025329525
0.5212500000 0.0012500000 0.4245040141 0.9288309794 0.0000000000 0.3025847791
0.5237500000 0.0012500000 0.4245323045 0.9287240724 0.0000000000 0.3026303044
0.5262500000 0.0012500000 0.4245550211 0.9286290665 0.0000000000 0.3026707883
0.5287500000 0.0012500000 0.4245730299 0.9285438648 0.0000000000 0.3027071189
0.5312500000 0.0012500000 0.4245869577 0.9284669310 0.0000000000 0.3027399467
0.5337500000 0.0012500000 0.4245972713 0.9283971001 0.0000000000 0.3027697651
0.5362500000 0.0012500000 0.4246043280 0.9283334615 0.0000000000 0.3027969601
0.5387500000 0.0012500000 0.4246084067 0.9282752833 0.0000000000 0.3028218416
0.5412500000 0.0012500000 0.4246097290 0.9282219638 0.0000000000 0.3028446646
0.5437500000 0.0012500000 0.4246084724 0.9281729982 0.0000000000 0.3028656430
0.5462500000 0.0012500000 0.4246047805 0.9281279557 0.0000000000 0.3028849595
0.5487500000 0.0012500000 0.4245987689 0.9280864637 0.0000000000 0.3029027720
0.5512500000 0.0012500000 0.4245905300 0.9280481962 0.0000000000 0.3029192186
0.5537500000 0.0012500000 0.4245801363 0.9280128654 0.0000000000 0.3029344216
0.5562500000 0.0012500000 0.4245676425 0.9279802151 0.0000000000 0.3029484895
0.5587500000 0.0012500000 0.4245530874 0.9279500162 0.0000000000 0.3029615196
0.5612500000 0.0012500000 0.4245364944 0.9279220626 0.0000000000 0.3029735992
0.5637500000 0.0012500000 0.4245178729 0.9278961685 0.0000000000 0.3029848073
0.5662500000 0.0012500000 0.4244972179 0.9278721654 0.0000000000 0.3029952153
0.5687500000 0.0012500000 0.4244745105 0.9278499006 0.0000000000 0.3030048881
0.5712500000 0.0012500000 0.4244497175 0.9278292352 0.0000000000 0.3030138846
0.5737500000 0.0012500000 0.4244227906 0.9278100427 0.0000000000 0.3030222586
0.5762500000 0.0012500000 0.4243936658 0.9277922077 0.0000000000 0.3030300591
0.5787500000 0.0012500000 0.4243622617 0.9277756247 0.0000000000 0.3030373309
0.5812500000 0.0012500000 0.4243284779 0.9277601975 0.0000000000 0.3030441150
0.5837500000 0.0012500000 0.4242921921 0.9277458377 0.0000000000 0.3030504487
0.5862500000 0.0012500000 0.4242532564 0.9277324648 0.0000000000 0.3030563664
0.5887500000 0.0012500000 0.4242114923 0.9277200047 0.0000000000 0.3030618997
0.5912500000 0.0012500000 0.4241666823 0.9277083895 0.0000000000 0.3030670772
0.5937500000 0.0012500000 0.4241185591 0.9276975570 0.0000000000 0.3030719256
0.5962500000 0.0012500000 0.4240667881 0.9276874500 0.0000000000 0.3030764692
0.5987500000 0.0012500000 0.4240109424 0.9276780159 0.0000000000 0.3030807304
0.6012500000 0.0012500000 0.4239504654 0.9276692065 0.0000000000 0.3030847296
0.6037500000 0.0012500000 0.4238846158 0.9276609771 0.0000000000 0.3030884859
0.6062500000 0.0012500000 0.4238123893 0.9276532871 0.0000000000 0.3030920166
0.6087500000 0.0012500000 0.4237324076 0.9276460986 0.0000000000 0.3030953379
0.6112500000 0.0012500000 0.4236427652 0.9276393769 -0.0000000000 0.3030984645
0.6137500000 0.0012500000 0.4235408246 0.9276330900 -0.0000000000 0.3031014100
0.6162500000 0.0012500000 0.4234229484 0.9276272084 -0.0000000000 0.3031041871
0.6187500000 0.0012500000 0.4232841622 0.9276217048 -0.0000000000 0.3031068074
0.6212500000 0.0012500000 0.4231177427 0.9276165539 -0.0000000000 0.3031092814
0.6237500000 0.0012500000 0.4229147363 0.9276117325 -0.0000000000 0.3031116192
0.6262500000 0.0012500000 0.4226634216 0.9276072189 -0.0000000000 0.3031138297
0.6287500000 0.0012500000 0.4223487413 0.9276029933 -0.0000000000 0.3031159215
