# step time[s] dt[s] max_speed[m/s] max_vorticity[1/s] max_delta_omega poisson_iters
6080 8.6826615998e-03 1.4280693421e-06 4.0086321254e+01 1.0444856374e+05 1.1180533105e+01 1
6120 8.7397843735e-03 1.4280693421e-06 4.0085384602e+01 1.0441119056e+05 1.1137003000e+01 1
6160 8.7969071472e-03 1.4280693421e-06 4.0084440971e+01 1.0437467005e+05 1.1099114670e+01 1
6200 8.8540299208e-03 1.4280693421e-06 4.0083490919e+01 1.0433904388e+05 1.1059830287e+01 1
6240 8.9111526945e-03 1.4280693421e-06 4.0082534469e+01 1.0430423653e+05 1.1023838127e+01 1
6280 8.9682754682e-03 1.4280693421e-06 4.0081571426e+01 1.0427022485e+05 1.1094501106e+01 1
6320 9.0253982419e-03 1.4280693421e-06 4.0080602479e+01 1.0423703807e+05 1.0951852733e+01 1
6360 9.0825210156e-03 1.4280693421e-06 4.0079627268e+01 1.0420459030e+05 1.0925884673e+01 1
6400 9.1396437893e-03 1.4280693421e-06 4.0078646301e+01 1.0417293625e+05 1.0883499868e+01 1
6440 9.1967665629e-03 1.4280693421e-06 4.0077659592e+01 1.0414200282e+05 1.0849148716e+01 1
6480 9.2538893366e-03 1.4280693421e-06 4.0076666993e+01 1.0411176966e+05 1.0817534649e+01 1
6520 9.3110121103e-03 1.4280693421e-06 4.0075668991e+01 1.0408226668e+05 1.0785617092e+01 1
6560 9.3681348840e-03 1.4280693421e-06 4.0074665591e+01 1.0405343407e+05 1.0754735008e+01 1
6600 9.4252576577e-03 1.4280693421e-06 4.0073656591e+01 1.0402526262e+05 1.0726965247e+01 1
6640 9.4823804314e-03 1.4280693421e-06 4.0072642605e+01 1.0399774750e+05 1.0693987219e+01 1
6680 9.5395032050e-03 1.4280693421e-06 4.0071623275e+01 1.0397394570e+05 1.0665347793e+01 1
6720 9.5966259787e-03 1.4280693421e-06 4.0070599042e+01 1.0395096524e+05 1.0635461412e+01 1
6760 9.6537487524e-03 1.4280693421e-06 4.0069569894e+01 1.0392851448e+05 1.0607755783e+01 1
6800 9.7108715261e-03 1.4280693421e-06 4.0068535623e+01 1.0390658471e+05 1.0583761038e+01 1
6840 9.7679942998e-03 1.4280693421e-06 4.0067496791e+01 1.0388517327e+05 1.0554652465e+01 1
6880 9.8251170735e-03 1.4280693421e-06 4.0066453039e+01 1.0386424815e+05 1.0529635181e+01 1
6920 9.8822398471e-03 1.4280693421e-06 4.0065404763e+01 1.0384382946e+05 1.0503478134e+01 1
6960 9.9393626208e-03 1.4280693421e-06 4.0064351934e+01 1.0382387694e+05 1.0477297443e+01 1
7000 9.9964853945e-03 1.4280693421e-06 4.0063307197e+01 1.0380438184e+05 1.0454382612e+01 1
7040 1.0053608168e-02 1.4280693421e-06 4.0062580061e+01 1.0378534416e+05 1.0429272293e+01 1
7080 1.0110730942e-02 1.4280693421e-06 4.0061846182e+01 1.0376673338e+05 1.0406615714e+01 1
7120 1.0167853716e-02 1.4280693421e-06 4.0061105849e+01 1.0374856818e+05 1.0384962887e+01 1
7160 1.0224976489e-02 1.4280693421e-06 4.0060358969e+01 1.0373081305e+05 1.0361987787e+01 1
7200 1.0282099263e-02 1.4280693421e-06 4.0059605278e+01 1.0371346044e+05 1.0340800704e+01 1
7240 1.0339222037e-02 1.4280693421e-06 4.0058845178e+01 1.0369650934e+05 1.0318628259e+01 1
7280 1.0396344810e-02 1.4280693421e-06 4.0058078280e+01 1.0367993447e+05 1.0297623612e+01 1
7320 1.0453467584e-02 1.4280693421e-06 4.0057304842e+01 1.0366375047e+05 1.0278270238e+01 1
7360 1.0510590358e-02 1.4280693421e-06 4.0056524762e+01 1.0364792707e+05 1.0258896684e+01 1
7400 1.0567713131e-02 1.4280693421e-06 4.0055737772e+01 1.0363245839e+05 1.0240614358e+01 1
7440 1.0624835905e-02 1.4280693421e-06 4.0054944240e+01 1.0361734097e+05 1.0221765398e+01 1
7480 1.0681958679e-02 1.4280693421e-06 4.0054143739e+01 1.0360255562e+05 1.0203370270e+01 1
7520 1.0739081452e-02 1.4280693421e-06 4.0053336621e+01 1.0358811223e+05 1.0185253542e+01 1
7560 1.0796204226e-02 1.4280693421e-06 4.0052522502e+01 1.0357397891e+05 1.0167267069e+01 1
7600 1.0853327000e-02 1.4280693421e-06 4.0051701602e+01 1.0356017201e+05 1.0151483576e+01 1
7640 1.0910449773e-02 1.4280693421e-06 4.0050873805e+01 1.0354666570e+05 1.0135650075e+01 1
7680 1.0967572547e-02 1.4280693421e-06 4.0050038832e+01 1.0353345451e+05 1.0120115913e+01 1
7720 1.1024695321e-02 1.4280693421e-06 4.0049197011e+01 1.0352053672e+05 1.0104815163e+01 1
7760 1.1081818094e-02 1.4280693421e-06 4.0048347950e+01 1.0350789466e+05 1.0089315649e+01 1
7800 1.1138940868e-02 1.4280693421e-06 4.0047491847e+01 1.0349553829e+05 1.0074259035e+01 1
7840 1.1196063642e-02 1.4280693421e-06 4.0046628429e+01 1.0348343712e+05 1.0059397431e+01 1
7880 1.1253186416e-02 1.4280693421e-06 4.0045757841e+01 1.0347161229e+05 1.0046277613e+01 1
7920 1.1310309189e-02 1.4280693421e-06 4.0044879950e+01 1.0346003534e+05 1.0033359147e+01 1
7960 1.1367431963e-02 1.4280693421e-06 4.0043994465e+01 1.0344870240e+05 1.0024262423e+01 1
8000 1.1424554737e-02 1.4280693421e-06 4.0043101674e+01 1.0343761548e+05 1.0018832088e+01 1
8040 1.1481677510e-02 1.4280693421e-06 4.0042201178e+01 1.0342675611e+05 1.0013406416e+01 1
8080 1.1538800284e-02 1.4280693421e-06 4.0041293138e+01 1.0341613457e+05 1.0007978588e+01 1
8120 1.1595923058e-02 1.4280693421e-06 4.0040377408e+01 1.0340573180e+05 1.0002563084e+01 1
8160 1.1653045831e-02 1.4280693421e-06 4.0039453684e+01 1.0339554322e+05 9.9969941987e+00 1
8200 1.1710168605e-02 1.4280693421e-06 4.0038522227e+01 1.0338556829e+05 9.9949842037e+00 1
8240 1.1767291379e-02 1.4280693421e-06 4.0037582628e+01 1.0337579305e+05 9.9930914457e+00 1
8280 1.1824414152e-02 1.4280693421e-06 4.0036635023e+01 1.0336622525e+05 9.9910222451e+00 1
8320 1.1881536926e-02 1.4280693421e-06 4.0035679247e+01 1.0335684851e+05 9.9888162127e+00 1
8360 1.1938659700e-02 1.4280693421e-06 4.0034714983e+01 1.0334765896e+05 9.9864466035e+00 1
8400 1.1995782473e-02 1.4280693421e-06 4.0033742461e+01 1.0333865516e+05 9.9839428473e+00 1
8440 1.2052905247e-02 1.4280693421e-06 4.0032761224e+01 1.0332982774e+05 9.9835058176e+00 1
8480 1.2110028021e-02 1.4280693421e-06 4.0031771493e+01 1.0332117696e+05 9.9848926214e+00 1
8520 1.2167150794e-02 1.4280693421e-06 4.0030772837e+01 1.0331269054e+05 9.9860246910e+00 1
8560 1.2224273568e-02 1.4280693421e-06 4.0029765358e+01 1.0330437495e+05 9.9868625501e+00 1
8600 1.2281396342e-02 1.4280693421e-06 4.0028748727e+01 1.0329621240e+05 9.9873926526e+00 1
8640 1.2338519116e-02 1.4280693421e-06 4.0027722996e+01 1.0328821201e+05 9.9875914944e+00 1
8680 1.2395641889e-02 1.4280693421e-06 4.0026687964e+01 1.0328035985e+05 9.9874748566e+00 1
8720 1.2452764663e-02 1.4280693421e-06 4.0025643280e+01 1.0327265265e+05 9.9891920354e+00 1
8760 1.2509887437e-02 1.4280693421e-06 4.0024589123e+01 1.0326508972e+05 9.9930211194e+00 1
